energy_eV,sey
35.489,1.002123
37.855,1.053079
40.221,1.104034
42.587,1.163482
44.953,1.214437
47.319,1.265393
49.685,1.324841
52.050,1.375796
54.416,1.426752
56.782,1.477707
59.148,1.528662
61.514,1.579618
63.880,1.630573
66.246,1.673036
68.612,1.723992
70.978,1.766454
73.344,1.808917
75.710,1.859873
78.076,1.902335
80.442,1.953291
82.808,2.479830
85.174,2.496815
87.539,2.505308
89.905,2.522293
92.271,2.539278
94.637,2.547771
97.003,2.556263
99.369,2.547771
101.735,2.539278
104.101,2.522293
106.467,2.726115
108.833,2.734607
111.199,2.743100
113.565,2.751592
115.931,2.760085
118.297,2.768577
120.662,2.777070
123.028,2.768577
125.394,2.760085
127.760,2.751592
130.126,2.912951
132.492,2.997877
134.858,3.006369
137.224,3.014862
139.590,3.023355
141.956,3.031847
144.322,3.031847
146.688,3.031847
149.054,3.023355
151.420,3.014862
153.785,3.006369
156.151,3.184713
158.517,3.193206
160.883,3.201699
163.249,3.210191
165.615,3.218684
167.981,3.227176
170.347,3.227176
172.713,3.218684
175.079,3.227176
177.445,3.244161
179.811,3.371550
182.177,3.380042
184.543,3.388535
186.909,3.388535
189.274,3.405520
191.640,3.414013
194.006,3.414013
196.372,3.405520
198.738,3.422505
201.104,3.447983
203.470,3.532909
205.836,3.541401
208.202,3.549894
210.568,3.558386
212.934,3.566879
215.300,3.575372
217.666,3.583864
220.032,3.575372
222.397,3.575372
224.763,3.592357
227.129,3.643312
229.495,3.651805
231.861,3.660297
234.227,3.668790
236.593,3.677282
238.959,3.685775
241.325,3.685775
243.691,3.685775
246.057,3.685775
248.423,3.694268
250.789,3.702760
253.155,3.711253
255.521,3.719745
257.886,3.728238
260.252,3.736730
262.618,3.736730
264.984,3.745223
267.350,3.753715
269.716,3.762208
272.082,3.770701
274.448,3.770701
276.814,3.779193
279.180,3.787686
281.546,3.787686
283.912,3.787686
286.278,3.796178
288.644,3.796178
291.009,3.804671
293.375,3.804671
295.741,3.813163
298.107,3.813163
300.473,3.813163
302.839,3.813163
305.205,3.821656
307.571,3.821656
309.937,3.821656
312.303,3.821656
314.669,3.821656
317.035,3.821656
319.401,3.821656
321.767,3.821656
324.132,3.830149
326.498,3.830149
328.864,3.830149
331.230,3.830149
333.596,3.821656
335.962,3.821656
338.328,3.821656
340.694,3.821656
343.060,3.821656
345.426,3.821656
347.792,3.813163
350.158,3.813163
352.524,3.813163
354.890,3.813163
357.256,3.804671
359.621,3.804671
361.987,3.804671
364.353,3.804671
366.719,3.796178
369.085,3.796178
371.451,3.796178
373.817,3.787686
376.183,3.787686
378.549,3.779193
380.915,3.779193
383.281,3.779193
385.647,3.770701
388.013,3.770701
390.379,3.762208
392.744,3.762208
395.110,3.753715
397.476,3.745223
399.842,3.745223
402.208,3.736730
404.574,3.736730
406.940,3.728238
409.306,3.736730
411.672,3.736730
414.038,3.728238
416.404,3.719745
418.770,3.711253
421.136,3.702760
423.502,3.694268
425.868,3.685775
428.233,3.677282
430.599,3.685775
432.965,3.694268
435.331,3.694268
437.697,3.685775
440.063,3.685775
442.429,3.668790
444.795,3.660297
447.161,3.651805
449.527,3.643312
451.893,3.643312
454.259,3.651805
456.625,3.660297
458.991,3.668790
461.356,3.660297
463.722,3.651805
466.088,3.643312
468.454,3.634820
470.820,3.626327
473.186,3.617834
475.552,3.558386
477.918,3.566879
480.284,3.575372
482.650,3.583864
485.016,3.583864
487.382,3.575372
489.748,3.566879
492.114,3.558386
494.479,3.549894
496.845,3.541401
499.211,3.498938
501.577,3.507431
503.943,3.515924
506.309,3.524416
508.675,3.524416
