energy_eV,sey
35.489,0.942675
37.855,0.993631
40.221,1.036093
42.587,1.087049
44.953,1.146497
47.319,1.188960
49.685,1.248408
52.050,1.299363
54.416,1.350318
56.782,1.401274
59.148,1.452229
61.514,1.503185
63.880,1.554140
66.246,1.596603
68.612,1.647558
70.978,1.690021
73.344,1.732484
75.710,1.783439
78.076,1.825902
80.442,1.876858
82.808,1.919321
85.174,1.961783
87.539,2.004246
89.905,1.995754
92.271,2.080679
94.637,2.131635
97.003,2.174098
99.369,2.216561
101.735,2.259023
104.101,2.292994
106.467,2.335456
108.833,2.369427
111.199,2.403397
113.565,2.445860
115.931,2.479830
118.297,2.522293
120.662,2.556263
123.028,2.590234
125.394,2.632696
127.760,2.666667
130.126,2.683652
132.492,2.683652
134.858,2.768577
137.224,2.802548
139.590,2.828025
141.956,2.861996
144.322,2.895966
146.688,2.895966
149.054,2.895966
151.420,2.895966
153.785,2.955414
156.151,3.031847
158.517,3.057325
160.883,3.074310
163.249,3.074310
165.615,3.074310
167.981,3.074310
170.347,1.545648
172.713,1.545648
175.079,3.227176
177.445,3.244161
179.811,3.269639
182.177,3.286624
184.543,3.312102
186.909,3.320594
189.274,3.312102
191.640,3.303609
194.006,3.303609
196.372,1.562633
198.738,3.422505
201.104,3.439490
203.470,3.456476
205.836,3.473461
208.202,3.490446
210.568,3.490446
212.934,3.490446
215.300,3.481953
217.666,1.545648
220.032,1.545648
222.397,1.545648
224.763,3.592357
227.129,3.600849
229.495,3.609342
231.861,3.609342
234.227,3.600849
236.593,3.592357
238.959,1.537155
241.325,1.537155
243.691,1.537155
246.057,3.685775
248.423,3.694268
250.789,3.694268
253.155,3.685775
255.521,1.511677
257.886,1.511677
260.252,1.511677
262.618,1.511677
264.984,1.511677
267.350,3.753715
269.716,3.762208
272.082,3.770701
274.448,3.770701
276.814,3.779193
279.180,3.779193
281.546,3.787686
283.912,3.787686
286.278,3.796178
288.644,3.796178
291.009,3.804671
293.375,3.804671
295.741,3.804671
298.107,3.813163
300.473,3.813163
302.839,3.813163
